6 1 24 1
6 1 24 -1
6 3 24 1
6 3 24 -1
6 5 24 1
6 5 24 -1
-6 -1 -24 1
-6 -1 -24 -1
-6 -3 -24 1
-6 -3 -24 -1
-6 -5 -24 1
-6 -5 -24 -1
23 1 -1 1
23 1 -1 0
23 1 -1 -1
23 2 -2 1
23 2 -2 0
23 2 -2 -1
23 3 -3 1
23 3 -3 0
23 3 -3 -1
23 4 -4 1
23 4 -4 0
23 4 -4 -1
23 5 -5 1
23 5 -5 0
23 5 -5 -1
23 11 -11 1
23 11 -11 0
23 11 -11 -1
23 12 -12 1
23 12 -12 0
23 12 -12 -1
23 13 -13 1
23 13 -13 0
23 13 -13 -1
23 14 -14 1
23 14 -14 0
23 14 -14 -1
23 15 -15 1
23 15 -15 0
23 15 -15 -1
23 16 -16 1
23 16 -16 0
23 16 -16 -1
24 2 -1 1
24 2 -1 0
24 2 -1 -1
24 2 -3 1
24 2 -3 0
24 2 -3 -1
24 2 -5 1
24 2 -5 0
24 2 -5 -1
24 4 -1 1
24 4 -1 0
24 4 -1 -1
24 4 -3 1
24 4 -3 0
24 4 -3 -1
24 4 -5 1
24 4 -5 0
24 4 -5 -1
24 12 -11 1
24 12 -11 0
24 12 -11 -1
24 14 -13 1
24 14 -13 0
24 14 -13 -1
24 16 -15 1
24 16 -15 0
24 16 -15 -1
-24 1 -2 1
-24 1 -2 0
-24 1 -2 -1
-24 1 -4 1
-24 1 -4 0
-24 1 -4 -1
-24 3 -2 1
-24 3 -2 0
-24 3 -2 -1
-24 3 -4 1
-24 3 -4 0
-24 3 -4 -1
-24 5 -2 1
-24 5 -2 0
-24 5 -2 -1
-24 5 -4 1
-24 5 -4 0
-24 5 -4 -1
-24 11 -12 1
-24 11 -12 0
-24 11 -12 -1
-24 13 -14 1
-24 13 -14 0
-24 13 -14 -1
-24 15 -16 1
-24 15 -16 0
-24 15 -16 -1
25 1 -1 0
25 2 -2 0
25 3 -3 0
25 4 -4 0
25 5 -5 0
25 11 -11 0
25 13 -13 0
25 15 -15 0
