 1   1
 2   1
 3   1
 4   1
 5   1
 6   1
 7   1
 8   1
 9   1
10   1
11   1
12   1
13   1
14   1
15   1
16   1
17  -9
18 -10
19 -11
20 -12
21 -13
22 -14
23 -15
24 -16
25  -1
26  -2
27  -3
28  -4
29  -5
30  -6
31  -7
32  -8
33  -9
34   1
35 -11
36   1
37   1
38   1
39   1
40   1
41   1
42 -41
43   1
44 -43
45 -38
46 -37
47 -40
48 -39
49 -13
50   1
51 -15
52   1
53   1
54   1
55   1
56   1
57   1
58 -57
59   1
60 -59
61 -54
62 -53
63 -56
64 -55
65  -1
66  -2
67  -3
68  -4
69  -5
70  -6
71  -7
72  -8
73 -41
74 -41
75 -43
76 -43
77 -38
78 -54
79 -40
80 -56
81 -57
82 -57
83 -59
84 -59
85 -54
86 -38
87 -56
88 -40
89 -41
90 -41
91 -43
92 -43
93 -57
94 -57
95 -59
96 -59
