 1   1
 2  -1
 3   1
 4  -3
 5   1
 6  -5
 7   1
 8  -7
 9   1
10   1
11   1
12   1
13  -9
14 -10
15 -11
16 -12
17   1
18   1
19   1
20   1
21 -17
22 -18
23 -19
24 -20
25   1
26 -25
27   1
28 -27
29   1
30 -29
31   1
32 -31
33   1
34   1
35   1
36   1
37   1
38   1
39   1
40   1
41   1
42   1
43   1
44   1
45   1
46   1
47   1
48   1
49 -33
50 -34
51 -35
52 -36
53 -37
54 -38
55 -39
56 -40
57 -41
58 -42
59 -43
60 -44
61 -45
62 -46
63 -47
64 -48
65   1
66 -65
67   1
68 -67
69   1
70 -69
71   1
72 -71
73   1
74   1
75   1
76   1
77   1
78   1
79   1
80   1
81 -73
82 -74
83 -75
84 -76
85 -77
86 -78
87 -79
88 -80
89   1
90   1
91   1
92   1
93 -89
94 -90
95 -91
96 -92
