 1   1
 2   1
 3   1
 4   1
 5   1
 6   1
 7   1
 8   1
 9   1
10   1
11   1
12   1
13   1
14   1
15   1
16   1
17  -9
18 -10
19 -11
20 -12
21 -13
22 -14
23 -15
24 -16
25  -1
26  -2
27  -3
28  -4
29  -5
30  -6
31  -7
32  -8
33   1
34   1
35   1
36   1
37   1
38   1
39   1
40   1
41   1
42 -41
43   1
44 -43
45 -38
46 -37
47 -40
48 -39
49   1
50   1
51   1
52   1
53   1
54   1
55   1
56   1
57   1
58 -57
59   1
60 -59
61 -54
62 -53
63 -56
64 -55
65   1
66   1
67   1
68   1
69   1
70   1
71   1
72   1
73   1
74   1
75   1
76   1
77   1
78   1
79   1
80   1
81   1
82   1
83   1
84   1
85 -78
86 -77
87 -80
88 -79
89 -73
90 -74
91 -75
92 -76
93 -81
94 -82
95 -83
96 -84
